"Id document","Id du document"
"Custom path to save PDF. Default goes to var/kiwiz/documents","Chemin personnalisable pour stocker les pDF. Par défaut dans var/kiwiz/documents"
"Get the creditmemo PDF from the blockchain","Téléchargez l'avoir depuis Kiwiz"
"Response from API was empty. Check log files","La réponse de l'API était vide. Vérifiez les fichiers de log"
"ID creditmemo","ID de l'avoir"
"Send creditmemo by ID","Synchroniser l'avoir par son identifiant"
"File Hash %1","Hash du fichier %1"
"Block Hash %1","Hash du bloc %1"
"Get the invoice PDF from the blockchain","Téléchargez la facture depuis Kiwiz"
"Run queue for failed synchronizations","Lancer le cron pour les synchronisations échouées"
"Issue happened during processing documents synchronization queue","Un problème est survenu lors de la synchronisation des documents"
"Store id to send alert to","Store ID de la configuration des destinataires"
"Send the alert email for quota threshold","Envoyer l'email pour les alertes de quota"
"Store id to get quota from","Configuration du store ID à charger pour le destinataire de l'alerte"
"Get the quota for the current subscription","Quota pour l'abonnement courant"
"Current usage: %1/%2","Utilisatation:  %1/%2"
"Refresh grid order for statues","Raffraichir les statuts dans les grilles de commande"
"There are no printable documents related to selected orders.","Il n'y a pas de documents imprimables dans les commandes sélectionnées"
"Queue cron started","Queue cron started"
"Queue cron finished","Queue cron finished"
"The install date is not defined. The status cron can't be started","La date d'installation n'est pas définie. Le cron ne se lancera pas. "
"Not defined","Non défini"
"Provided document type is not covered by kiwiz: %s","Ce type de document n'est pas couvert par Kiwiz: %s"
"Impossible to send multiple invoices, please enable ZipArchive extension","Impossible d'imprimer plusieurs documents, activez l'extension ZipArchive"
"Impossible to get the token from the API. Check credentials","La connexion à l'API a échoué. Vérifiez vos identifiants"
"Token not found in Response body: %1","Le Jeton n'a pa été trouvé dans la réponse: %1"
"Error during save of token","Une erreur est survenue lors de l'enregistrement du jeton"
"Method must be defined","La méthode doit être définie"
"Unknown method %1","Méthode inconnue %1"
"Kiwiz API error: Authentification failed. Status code %1, body: %2","L'API Kiwiz à retourné une erreur : L'authentification a échoué. Status code %1, body: %2"
"Kiwiz API error: status code %1, body : %2","L'API Kiwiz à retourné une erreur : status code %1, body : %2"
"The creditmemo has no tax set","L'avoir n'a pas de Taxe"
"Unknown %1 for id %2","Inconnu %1 pour l'id %2"
"%1 have already been certified. File Hash: %2, Block Hash: %3","%1 a déjà été certifié". File Hash: %2, Block Hash: %3"
"The install date is not defined. The %1 can' be synchronized","La date d'installation du module n'a pas été définie. Le %1 ne peut pas être synchronisée"
"The %1 creation date: %2 is earlier than the install date of the module %3","La date de création de %1 : %2 est antérieure à la date d'activation du module %3"
"The item has duplicate entries in queue table. 
            Please clean the table kiwiz_queue","The item has duplicate entries in queue table. 
            Please clean the table kiwiz_queue"
"Invoice could not be loaded","La Facture n'a pas été chargée"
"The invoice has no tax set","La Facture n'a pas de taxe définie"
"The %1 can't be certified. Reason: %2","Le document %1 ne peut pas être certifié: %2"
"Queue processing started. %1 document to be processed","Le processus de resynchronisation a commencé. %1 document à traiter"
"Unknown document type: %1 for queue id %2","Type de document inconnu: %1 pour l'identifiant queue id %2"
"%1 documents synchronized out of %2.","%1 document(s) synchronisé(s) sur %2."
"Object with id ""%1"" does not exist.","Le document avec l'identifiant ""%1"" n'existe pas. "
"Document has been sent to Kiwiz","Le document a été certifié sur Kiwiz"
"Block Hash: %1","Block Hash: %1"
"File Hash: %1","File Hash: %1"
"Error during synchronizing to Kiwiz: Empty response from API","Error during synchronizing to Kiwiz: Empty response from API"
"ongoing synchronization","Synchroisation en cours"
"synchronized","synchronisé"
"not synchronized","pas synchronisé"
"Kiwiz synchronization","Kiwiz certification"
